department,day,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity,half
finishing,Weekday,0.75,4.6,0,3360,0,0,0,0,8,0.376597222,Half2
finishing,Weekday,0.7,3.94,0,960,0,0,0,0,8,0.812625,Half1
finishing,Weekday,0.8,4.6,0,0,1080,0,0,0,9,0.902962963,Half1
sewing,Weekday,0.8,30.1,834,1200,0,4,40,0,59,0.366053523,Half1
finishing,Weekend,0.8,2.9,0,1620,0,0,0,0,9,0.910521886,Half2
sewing,Weekday,0.35,22.4,581,7350,0,0,0,0,51.5,0.35063299,Half1
sewing,Weekday,0.65,23.54,830,6600,0,0,0,0,55,0.48792,Half2
sewing,Weekend,0.7,30.1,824,5160,0,0,0,1,60,0.700206125,Half1
finishing,Weekday,0.5,3.9,0,960,0,0,0,0,8,0.5403125,Half1
sewing,Weekday,0.7,29.4,1228,6960,30,0,0,2,58,0.700362069,Half2
sewing,Weekday,0.7,21.82,1653,6240,0,0,0,2,52,0.700058333,Half2
sewing,Weekday,0.8,22.52,21385,7020,88,0,0,0,58.5,0.900158405,Half1
sewing,Weekday,0.8,51.02,1086,4260,27,0,0,0,57,0.311207464,Half1
finishing,Weekday,0.8,3.94,0,1440,0,0,0,0,8,0.858143939,Half1
sewing,Weekend,0.6,30.1,1361,6960,30,0,0,1,58,0.475718391,Half2
finishing,Weekend,0.7,4.15,0,2700,0,0,0,0,15,0.966666667,Half2
sewing,Weekday,0.75,18.79,1020,5640,45,0,0,1,52,0.750371895,Half2
sewing,Weekend,0.7,15.26,1296,6120,40,0,0,0,34,0.70043672,Half2
finishing,Weekend,0.6,3.94,0,3360,0,0,0,0,8,0.448722222,Half1
sewing,Weekday,0.8,28.08,737,10530,63,0,0,0,58.5,0.8,Half1
sewing,Weekend,0.6,11.41,1039,2280,23,0,0,2,55,0.600447507,Half1
finishing,Weekday,0.8,4.6,0,1440,0,0,0,0,12,0.894444444,Half1
sewing,Weekend,0.8,25.9,1288,10170,38,0,0,0,56.5,0.800128721,Half2
sewing,Weekday,0.75,11.61,635,3360,45,0,0,0,57,0.750503571,Half2
sewing,Weekend,0.8,26.87,585,5670,56,0,0,0,31.5,0.662255892,Half2
sewing,Weekday,0.7,22.52,983,10260,63,0,0,0,57,0.750068049,Half2
finishing,Weekday,0.65,3.9,0,0,960,0,0,0,8,0.2640625,Half1
sewing,Weekday,0.8,30.1,694,4080,50,0,0,1,59,0.800808642,Half2
finishing,Weekday,0.75,3.94,0,1920,0,0,0,0,8,0.813309028,Half1
sewing,Weekend,0.75,15.26,1209,4200,45,0,0,0,35,0.750646667,Half2
sewing,Weekday,0.7,29.12,1170,6960,53,0,0,0,58,0.850170115,Half2
finishing,Weekday,0.8,2.9,0,4800,0,0,0,0,8,0.397743056,Half2
sewing,Weekday,0.75,21.82,1674,6000,34,0,0,0,50,0.750608,Half1
sewing,Weekend,0.65,22.52,1295,10170,26,0,0,0,56.5,0.650416734,Half2
sewing,Weekend,0.8,22.52,1233,6900,113,0,0,0,57.5,1.000018551,Half1
sewing,Weekend,0.7,28.08,1072,6900,40,0,0,0,57.5,0.699965217,Half1
finishing,Weekend,0.75,3.94,0,1440,0,0,0,0,8,0.970075758,Half2
finishing,Weekend,0.7,4.15,0,960,0,0,0,0,8,0.725625,Half1
finishing,Weekday,0.8,4.6,0,3780,0,0,0,0,9,0.607654321,Half1
finishing,Weekday,0.8,4.15,0,1980,0,0,0,0,7,0.934607438,Half1
finishing,Weekend,0.8,2.9,0,1440,0,0,0,0,8,0.661837121,Half2
finishing,Weekday,0.75,5.13,0,960,0,0,0,0,8,0.734645833,Half2
finishing,Weekday,0.75,3.9,0,1920,0,0,0,0,8,0.819270833,Half1
finishing,Weekday,0.7,2.9,0,3360,0,0,0,0,8,0.463194444,Half1
finishing,Weekday,0.8,4.08,0,1080,0,0,0,0,9,0.687555556,Half1
sewing,Weekend,0.8,26.16,1335,10620,63,0,0,0,59,0.800117103,Half1
sewing,Weekday,0.6,18.79,2103,5400,0,0,0,1,54,0.329964879,Half2
finishing,Weekend,0.8,2.9,0,960,0,0,0,0,8,0.604166667,Half2
sewing,Weekend,0.6,29.12,925,6660,23,0,0,0,58,0.600125217,Half2
finishing,Weekday,0.8,4.15,0,1620,0,0,0,0,9,0.901262626,Half1
sewing,Weekend,0.7,21.82,1448,6120,40,0,0,1,51,0.700236601,Half2
finishing,Weekend,0.75,3.94,0,1800,0,0,0,0,15,0.971866667,Half2
sewing,Weekend,0.7,22.52,825,10170,50,0,0,0,56.5,0.7005417,Half2
sewing,Weekday,0.75,26.82,1054,7080,45,0,0,0,59,0.750050847,Half1
sewing,Weekday,0.75,19.87,944,6600,45,0,0,0,55,0.75024303,Half1
sewing,Weekend,0.7,30.1,754,7020,0,0,0,0,58.5,0.700618234,Half1
finishing,Weekday,0.7,2.9,0,960,0,0,0,0,8,0.531666667,Half1
sewing,Weekend,0.8,25.9,970,10170,60,0,0,0,56.5,0.850136766,Half1
finishing,Weekday,0.7,4.6,0,960,0,0,0,0,8,0.658541667,Half2
finishing,Weekend,0.8,3.94,0,1440,0,0,0,0,8,0.974621212,Half2
finishing,Weekday,0.7,5.13,0,1200,0,0,0,0,10,0.91375,Half2
sewing,Weekday,0.8,18.79,779,3960,0,0,0,0,33,0.688017677,Half1
finishing,Weekday,0.65,3.94,0,960,0,0,0,0,8,0.845458333,Half2
finishing,Weekend,0.8,3.94,0,960,0,0,0,0,8,0.915229167,Half1
sewing,Weekday,0.75,11.61,698,3360,34,0,0,2,57,0.750437269,Half2
sewing,Weekday,0.7,11.41,680,2160,30,0,0,2,54,0.565972222,Half2
finishing,Weekday,0.7,4.15,0,240,0,0,0,0,2,0.87,Half1
finishing,Weekday,0.8,3.94,0,1440,0,0,0,0,8,0.24625,Half1
finishing,Weekday,0.8,4.6,0,1440,0,0,0,0,12,0.811388889,Half2
sewing,Weekday,0.7,18.79,941,3360,30,0,0,0,33,0.700710417,Half1
finishing,Weekday,0.8,2.9,0,1440,0,0,0,0,8,0.606912879,Half2
sewing,Weekday,0.75,18.79,1003,3960,45,0,0,1,33,0.75065101,Half2
sewing,Weekend,0.5,20.79,966,7680,0,0,0,0,56,0.388007813,Half1
sewing,Weekday,0.8,22.52,11,6840,0,0,0,1,57,0.536901754,Half1
sewing,Weekday,0.75,22.52,759,10080,81,0,0,0,56,0.849983766,Half2
finishing,Weekend,0.7,3.94,0,1200,0,0,0,0,10,0.715766667,Half1
finishing,Weekend,0.65,4.15,0,2160,0,0,0,0,12,0.838383838,Half2
sewing,Weekday,0.7,18.79,1641,6000,40,0,0,1,50,0.60128,Half2
finishing,Weekday,0.75,3.94,0,1800,0,0,0,0,10,1.059621212,Half2
sewing,Weekday,0.7,38.09,336,6240,0,0,0,0,52,0.467693269,Half2
sewing,Weekday,0.8,22.52,23122,5940,50,0,0,0,56.5,0.800393224,Half1
finishing,Weekday,0.8,2.9,0,1440,0,0,0,0,8,0.804640152,Half1
sewing,Weekday,0.65,15.09,976,240,23,0,0,0,52,0.650307143,Half2
sewing,Weekend,0.8,11.41,313,3420,50,0,0,0,58,0.800034503,Half1
sewing,Weekend,0.8,15.26,1021,4080,63,0,0,0,34,0.800401961,Half1
finishing,Weekday,0.5,5.13,0,1800,0,0,0,0,15,0.7866,Half2
sewing,Weekend,0.8,11.61,1039,5670,63,0,0,0,31.5,0.800246753,Half2
finishing,Weekend,0.8,4.08,0,1080,0,0,0,0,9,0.876444444,Half2
sewing,Weekday,0.8,11.61,816,2820,50,0,0,2,57,0.800516667,Half2
sewing,Weekend,0.8,18.79,822,4080,0,0,0,0,34,0.557252451,Half1
finishing,Weekday,0.65,4.15,0,960,0,0,0,0,8,0.553333333,Half2
finishing,Weekend,0.8,3.94,0,1800,0,0,0,0,10,0.582045455,Half2
finishing,Weekday,0.8,3.94,0,1440,0,0,0,0,8,0.936496212,Half1
finishing,Weekend,0.8,4.15,0,1440,0,0,0,0,8,0.817424242,Half1
sewing,Weekday,0.8,30.1,437,7080,32,0,0,2,59,0.495617514,Half2
sewing,Weekend,0.8,11.61,539,6975,50,0,0,0,31,0.879714482,Half1
finishing,Weekday,0.6,3.94,0,0,2880,0,0,0,12,0.864342593,Half1
finishing,Weekday,0.8,3.94,0,4440,0,0,0,0,18,0.966781346,Half1
sewing,Weekend,0.8,11.61,347,0,50,4,20,0,57,0.682433036,Half1
sewing,Weekday,0.75,28.08,1083,7020,45,0,0,0,58.5,0.7504,Half1
sewing,Weekday,0.75,18.79,759,3960,34,0,0,0,33,0.75065101,Half2
finishing,Weekend,0.6,3.94,0,960,0,0,0,0,8,0.673083333,Half1
sewing,Weekday,0.8,15.26,470,4080,63,0,0,0,34,0.800401961,Half1
finishing,Weekday,0.8,3.94,0,1440,0,0,0,0,8,0.880530303,Half1
sewing,Weekday,0.7,20.55,9792,6480,60,0,0,0,54,0.700398148,Half1
finishing,Weekday,0.8,2.9,0,1440,0,0,0,0,8,0.683806818,Half2
sewing,Weekday,0.8,15.26,1060,4080,63,0,0,0,34,0.800401961,Half2
sewing,Weekday,0.7,14.89,1735,10260,50,0,0,0,57,0.700170388,Half2
sewing,Weekend,0.7,21.82,1393,5640,30,0,0,0,52,0.700236601,Half1
sewing,Weekday,0.6,22.4,816,5100,23,0,0,0,57,0.600369686,Half1
sewing,Weekend,0.8,22.52,1397,6840,113,0,0,0,57,1.000230409,Half2
sewing,Weekday,0.6,30.1,1069,4560,30,0,0,1,58,0.714410494,Half1
finishing,Weekday,0.8,4.6,0,0,1440,0,0,0,12,0.795416667,Half1
sewing,Weekend,0.5,26.66,556,6960,23,0,0,2,58,0.500258046,Half2
sewing,Weekday,0.8,22.52,1413,360,70,0,0,0,57,0.900477825,Half1
finishing,Weekday,0.7,5.13,0,960,0,0,0,0,8,0.671875,Half2
sewing,Weekday,0.8,22.52,1422,6840,113,0,0,0,57,1.000230409,Half2
sewing,Weekday,0.8,26.16,1099,8220,75,0,0,0,59,0.850522167,Half1
sewing,Weekday,0.8,22.52,10,6000,0,0,0,0,50,0.441392,Half1
sewing,Weekday,0.8,42.27,465,9900,54,0,0,0,55,0.705576584,Half1
sewing,Weekday,0.75,29.4,1244,6840,45,0,0,2,57,0.750473684,Half2
sewing,Weekday,0.7,29.4,1116,6240,0,0,0,2,57,0.7,Half2
sewing,Weekday,0.8,30.1,616,7080,0,0,0,0,59,0.800115819,Half1
sewing,Weekday,0.8,26.16,1232,10620,75,0,0,0,59,0.850502311,Half1
sewing,Weekday,0.8,26.16,1189,10620,75,0,0,0,59,0.850502311,Half1
sewing,Weekday,0.8,25.9,1047,6780,38,0,0,0,56.5,0.800684366,Half1
sewing,Weekday,0.8,11.61,955,6360,63,0,0,0,32,0.800191989,Half2
sewing,Weekday,0.8,15.26,1132,4080,63,0,0,0,34,0.800401961,Half1
finishing,Weekend,0.75,2.9,0,5640,0,0,0,0,17,0.987880435,Half1
finishing,Weekday,0.8,2.9,0,960,0,0,0,0,8,0.540729167,Half1
finishing,Weekday,0.8,3.94,0,2160,0,0,0,0,18,1.057962963,Half1
finishing,Weekday,0.8,2.9,0,1440,0,0,0,0,8,0.667329545,Half1
finishing,Weekday,0.65,3.94,0,3360,0,0,0,0,8,0.537919444,Half1
sewing,Weekday,0.65,21.98,808,10440,35,0,0,0,58,0.649983281,Half1
sewing,Weekend,0.8,30.1,934,6960,0,3.5,15,0,58,0.579511494,Half1
finishing,Weekday,0.75,2.9,0,960,0,0,0,0,8,0.676666667,Half1
sewing,Weekend,0.7,23.69,544,13800,0,0,0,0,60,0.700134038,Half1
sewing,Weekday,0.75,15.26,1436,4200,45,0,0,0,35,0.750646667,Half2
finishing,Weekend,0.7,3.94,0,4320,0,0,0,0,18,0.759228395,Half1
sewing,Weekend,0.75,15.26,1276,1440,45,0,0,0,35,0.750450658,Half1
finishing,Weekday,0.75,2.9,0,960,0,0,0,0,8,0.888125,Half1
finishing,Weekday,0.65,3.94,0,960,0,0,0,0,8,0.705916667,Half1
finishing,Weekend,0.8,3.94,0,960,0,0,0,0,8,0.385791667,Half2
finishing,Weekend,0.8,3.94,0,1800,0,0,0,0,10,0.82680303,Half2
sewing,Weekday,0.6,30.1,829,3360,23,0,0,1,58,0.600070513,Half1
sewing,Weekday,0.7,26.82,1772,6960,50,0,0,0,58,0.750651724,Half1
sewing,Weekday,0.8,54.56,757,4140,29,0,0,0,58,0.520237649,Half2
sewing,Weekend,0.65,30.1,712,6780,44,0,0,1,56.5,0.568259587,Half1
finishing,Weekday,0.8,5.13,0,1440,0,0,0,0,12,0.919125,Half2
finishing,Weekend,0.75,3.94,0,2280,0,0,0,0,19,0.950438596,Half1
finishing,Weekday,0.75,3.94,0,960,0,0,0,0,8,0.880754167,Half1
sewing,Weekday,0.65,20.79,1015,7080,81,0,0,0,59,0.800473729,Half2
sewing,Weekend,0.7,45.67,884,6960,26,0,0,0,58,0.603432184,Half1
sewing,Weekday,0.75,22.52,1299,6840,119,0,0,0,57,1.000230409,Half2
sewing,Weekday,0.6,30.33,868,6840,0,0,0,1,57,0.328131579,Half2
sewing,Weekday,0.8,25.9,984,6720,38,0,0,0,56,0.800125,Half1
sewing,Weekday,0.8,29.12,609,3240,50,0,0,0,58,0.800144144,Half1
finishing,Weekend,0.6,3.9,0,960,0,0,0,0,8,0.4509375,Half1
finishing,Weekday,0.8,5.13,0,1080,0,0,0,0,9,0.9025,Half2
finishing,Weekday,0.75,4.15,0,1200,0,0,0,0,10,0.629416667,Half2
finishing,Weekday,0.8,3.94,0,1440,0,0,0,0,12,0.664875,Half1
finishing,Weekday,0.7,5.13,0,960,0,0,0,0,8,0.930416667,Half2
finishing,Weekend,0.8,3.94,0,960,0,0,0,0,8,0.792104167,Half1
sewing,Weekend,0.75,10.05,677,3240,45,0,0,0,27,0.750027778,Half1
finishing,Weekday,0.8,3.94,0,1440,0,0,0,0,8,0.891723485,Half1
sewing,Weekday,0.8,11.41,411,14640,50,0,0,0,30.5,0.800024932,Half1
finishing,Weekend,0.8,3.94,0,1440,0,0,0,0,8,0.820833333,Half1
finishing,Weekend,0.8,3.94,0,960,0,0,0,0,8,0.607416667,Half1
sewing,Weekend,0.75,19.87,1075,7080,45,0,0,0,56,0.750098351,Half1
sewing,Weekday,0.6,29.4,179,0,23,5,30,2,58,0.600982906,Half2
sewing,Weekend,0.6,26.66,692,6840,23,0,0,0,57,0.600239766,Half1
finishing,Weekday,0.8,3.94,0,960,0,0,0,0,8,0.586041667,Half2
finishing,Weekday,0.7,2.9,0,1800,0,0,0,0,15,0.726933333,Half2
sewing,Weekend,0.8,11.61,896,5670,50,0,0,0,31.5,0.800246753,Half1
sewing,Weekday,0.8,26.16,1187,10620,75,0,0,0,59,0.850502311,Half1
finishing,Weekday,0.6,3.94,0,960,0,0,0,0,8,0.406354167,Half2
finishing,Weekend,0.8,2.9,0,1440,0,0,0,0,8,0.628882576,Half1
sewing,Weekday,0.5,18.79,717,3960,23,0,0,0,33,0.500117677,Half2
sewing,Weekday,0.75,18.79,1206,6240,34,0,0,0,52,0.750395513,Half1
sewing,Weekday,0.8,22.52,1287,6840,100,0,0,0,57,0.950185965,Half2
sewing,Weekday,0.75,30.1,444,0,0,5,20,1,59,0.611140537,Half2
sewing,Weekday,0.7,19.68,1119,5640,0,8,35,1,47,0.303574468,Half2
finishing,Weekend,0.7,4.15,0,960,0,0,0,0,8,0.7018125,Half1
sewing,Weekday,0.75,30.1,855,7020,45,0,0,0,58,0.750356125,Half1
sewing,Weekday,0.8,40.99,980,10770,30,0,0,0,56.5,0.555500132,Half2
finishing,Weekday,0.8,2.9,0,1440,0,0,0,0,8,0.681060606,Half1
finishing,Weekday,0.7,4.15,0,2400,0,0,0,0,8,0.758173077,Half2
sewing,Weekend,0.7,20.4,1382,10440,50,0,0,0,58,0.700250784,Half2
finishing,Weekday,0.75,3.94,0,8400,0,0,0,0,14,0.940701058,Half2
sewing,Weekday,0.8,11.61,1159,2970,50,0,0,0,31.5,0.800313433,Half1
sewing,Weekday,0.5,22.94,1492,10170,30,0,0,0,56.5,0.549969429,Half2
sewing,Weekday,0.8,15.26,894,4080,50,0,0,0,34,0.800401961,Half1
sewing,Weekend,0.8,22.52,1186,6900,113,0,0,0,58,1.000018551,Half1
finishing,Weekday,0.8,2.9,0,1440,0,0,0,0,8,0.639867424,Half2
finishing,Weekend,0.8,2.9,0,1440,0,0,0,0,8,0.639867424,Half2
sewing,Weekday,0.8,11.61,1101,5310,50,0,0,0,31.5,0.800140969,Half1
finishing,Weekend,0.8,3.94,0,1200,0,0,0,0,10,0.893066667,Half1
sewing,Weekday,0.65,27.48,544,6720,34,0,0,0,56,0.700903571,Half1
sewing,Weekend,0.8,49.1,1381,10350,24,0,0,0,57.5,0.403242161,Half2
finishing,Weekend,0.8,4.6,0,3780,0,0,0,0,9,0.590617284,Half2
finishing,Weekday,0.8,2.9,0,1440,0,0,0,0,8,0.817424242,Half1
sewing,Weekday,0.7,27.13,530,9540,37,0,0,0,53,0.582301029,Half1
sewing,Weekday,0.65,24.26,1435,6600,0,0,0,0,55,0.260978788,Half1
finishing,Weekday,0.8,2.9,0,960,0,0,0,0,8,0.3715625,Half2
sewing,Weekday,0.65,30.33,841,6840,0,0,0,1,57,0.585315789,Half2
sewing,Weekday,0.7,26.66,950,6960,50,0,0,0,58,0.750770115,Half1
sewing,Weekend,0.65,18.79,881,3960,26,0,0,0,33,0.651007071,Half1
finishing,Weekday,0.75,2.9,0,3360,0,0,0,0,8,0.309333333,Half1
sewing,Weekday,0.8,15.26,961,4080,50,0,0,0,34,0.800401961,Half1
sewing,Weekday,0.8,26.16,1324,10620,75,0,0,0,59,0.850502311,Half1
sewing,Weekday,0.8,15.26,900,4080,50,0,0,0,34,0.800401961,Half1
sewing,Weekday,0.7,20.79,965,7320,0,0,0,0,58,0.700095563,Half1
finishing,Weekend,0.8,4.08,0,1080,0,0,0,0,9,0.891555556,Half1
sewing,Weekend,0.8,15.26,1026,2880,63,0,0,0,34,0.800355208,Half1
finishing,Weekday,0.7,3.9,0,960,0,0,0,0,8,0.741,Half1
sewing,Weekday,0.7,30.1,557,6960,0,0,0,0,58,0.562212644,Half1
sewing,Weekend,0.7,30.1,881,7080,0,0,0,1,59,0.700632768,Half2
finishing,Weekday,0.7,3.9,0,960,0,0,0,0,8,0.325,Half2
sewing,Weekday,0.7,22.52,938,10080,63,0,0,0,56,0.750057359,Half2
finishing,Weekday,0.8,3.94,0,960,0,0,0,0,8,0.6895,Half1
sewing,Weekend,0.75,15.26,1316,6120,40,0,0,0,34,0.750079323,Half2
sewing,Weekday,0.8,22.52,813,0,88,0,0,0,57,0.90047076,Half1
sewing,Weekday,0.8,15.26,1065,4080,63,0,0,0,34,0.800401961,Half2
finishing,Weekday,0.65,3.94,0,960,0,0,0,0,8,0.806879167,Half1
sewing,Weekday,0.7,24.26,1639,6720,0,0,0,0,56,0.541517857,Half1
finishing,Weekday,0.8,3.94,0,1440,0,0,0,0,8,0.835757576,Half1
finishing,Weekday,0.7,3.9,0,0,1200,0,0,0,10,0.6825,Half1
finishing,Weekend,0.7,4.08,0,1620,0,0,0,0,9,0.618181818,Half2
finishing,Weekday,0.8,3.94,0,1260,0,0,0,0,8,0.247316017,Half1
sewing,Weekday,0.6,22.52,1076,10170,23,0,0,0,56.5,0.600291767,Half2
finishing,Weekday,0.5,5.13,0,2880,0,0,0,0,12,0.81640625,Half2
sewing,Weekday,0.8,22.52,1086,6960,50,0,0,0,58,0.799963218,Half1
finishing,Weekend,0.6,3.94,0,1440,0,0,0,0,8,0.261174242,Half2
sewing,Weekend,0.7,21.82,1251,6000,30,0,0,0,50,0.700422,Half1
finishing,Weekend,0.8,3.94,0,1200,0,0,0,0,10,0.912766667,Half1
sewing,Weekday,0.8,30.1,786,7080,50,0,0,2,59,0.800115819,Half2
sewing,Weekend,0.8,15.26,1194,1700,62,0,0,0,34,0.800260821,Half2
sewing,Weekday,0.5,11.41,1039,2280,0,0,0,2,55,0.50012336,Half1
sewing,Weekend,0.8,11.41,887,5490,50,0,0,0,30.5,0.800343766,Half1
finishing,Weekday,0.75,4.15,0,1920,0,0,0,0,8,0.875390625,Half1
finishing,Weekday,0.8,3.94,0,2400,0,0,0,0,10,0.939513889,Half1
finishing,Weekend,0.75,4.6,0,3360,0,0,0,0,8,0.813611111,Half1
sewing,Weekday,0.35,22.4,715,10170,23,0,0,0,56.5,0.35020649,Half1
sewing,Weekend,0.7,24.26,652,6840,0,300,37,0,57,0.365318713,Half1
finishing,Weekend,0.8,4.6,0,3600,0,0,0,0,15,0.590740741,Half1
sewing,Weekday,0.75,18.79,1193,6240,45,0,0,0,52,0.750395513,Half1
finishing,Weekday,0.8,3.94,0,1440,0,0,0,0,8,0.805909091,Half1
sewing,Weekday,0.6,15.26,1492,6960,23,0,0,0,34,0.600436426,Half2
sewing,Weekend,0.8,11.61,954,0,50,0,0,2,58,0.800779018,Half2
finishing,Weekday,0.8,3.94,0,1440,0,0,0,0,12,0.618361111,Half1
sewing,Weekday,0.75,28.08,1066,10530,69,0,0,0,58.5,0.8,Half1
sewing,Weekday,0.8,22.52,1506,3600,70,0,0,0,57,0.900509044,Half1
finishing,Weekday,0.35,4.3,0,3600,0,0,0,0,20,0.988636364,Half2
sewing,Weekend,0.8,22.52,1116,6720,93,0,0,0,56,0.920236905,Half2
sewing,Weekend,0.8,15.26,942,4080,63,0,0,0,34,0.800401961,Half1
finishing,Weekday,0.8,4.08,0,1080,0,0,0,0,9,0.838666667,Half1
sewing,Weekday,0.8,11.61,1063,5670,50,0,0,0,31.5,0.800246753,Half1
sewing,Weekday,0.7,18.79,1587,4560,30,0,0,1,51,0.70009573,Half2
finishing,Weekday,0.8,4.6,0,7560,0,0,0,0,18,0.921604938,Half2
sewing,Weekday,0.8,25.9,1066,10170,50,0,0,0,56.5,0.800128721,Half1
finishing,Weekday,0.8,4.6,0,4200,0,0,0,0,10,0.999533333,Half1
sewing,Weekday,0.8,30.1,15,1200,49,0,0,1,59,0.598792339,Half2
sewing,Weekday,0.8,28.08,759,6900,50,0,0,0,57.5,0.800076522,Half1
sewing,Weekday,0.7,18.79,1603,6120,30,0,0,1,51,0.638614379,Half2
finishing,Weekday,0.7,4.6,0,3360,0,0,0,0,8,0.354444444,Half1
sewing,Weekend,0.8,15.26,1106,4080,63,0,0,0,34,0.800401961,Half1
sewing,Weekend,0.75,22.52,1495,10350,55,0,0,0,57.5,0.800513307,Half2
sewing,Weekday,0.8,11.61,1120,5670,50,0,0,0,31.5,0.800246753,Half1
sewing,Weekend,0.8,11.61,1005,7080,50,0,0,0,29.5,0.800237288,Half1
sewing,Weekday,0.8,15.26,854,4080,50,0,0,0,34,0.800401961,Half1
finishing,Weekend,0.8,3.94,0,960,0,0,0,0,8,1.1204375,Half2
sewing,Weekday,0.8,22.52,1134,6720,70,0,0,0,56,0.90012976200000006,Half2
finishing,Weekday,0.8,4.6,0,1200,0,0,0,0,10,0.939166667,Half1
sewing,Weekday,0.8,26.16,1138,7080,63,0,0,0,59,0.800318644,Half1
finishing,Weekday,0.6,3.9,0,960,0,0,0,0,8,0.950625,Half1
sewing,Weekday,0.8,30.1,450,7140,50,0,0,0,60,0.800137255,Half2
sewing,Weekday,0.65,30.48,953,6720,26,0,0,1,56,0.650421429,Half1
sewing,Weekend,0.6,23.41,1266,2520,23,0,0,1,38,0.601037091,Half1
sewing,Weekday,0.7,30.1,247,6960,50,0,0,1,58,0.700603448,Half2
finishing,Weekend,0.8,3.94,0,2160,0,0,0,0,18,0.875555556,Half1
finishing,Weekday,0.65,4.15,0,1440,0,0,0,0,8,0.821354167,Half1
finishing,Weekday,0.8,3.94,0,960,0,0,0,0,8,0.771583333,Half1
finishing,Weekend,0.8,2.9,0,1440,0,0,0,0,8,0.653598485,Half1
sewing,Weekend,0.8,25.9,1227,7020,60,0,0,0,56.5,0.850436438,Half1
sewing,Weekday,0.7,29.4,1079,4560,40,0,0,2,58,0.700518519,Half2
sewing,Weekday,0.8,25.9,1135,10170,60,0,0,0,56.5,0.850136766,Half1
sewing,Weekend,0.65,22.52,1163,9720,35,0,0,0,54,0.650198653,Half2
sewing,Weekday,0.8,22.52,1500,6900,113,0,0,0,57.5,1.000018551,Half1
finishing,Weekend,0.8,4.6,0,1440,0,0,0,0,12,0.951944444,Half1
sewing,Weekday,0.8,25.9,1218,10170,60,0,0,0,56.5,0.850136766,Half1
sewing,Weekday,0.65,20.4,1255,8280,35,0,0,0,58,0.650066445,Half2
sewing,Weekday,0.7,26.66,1562,6960,60,0,0,0,58,0.800566092,Half1
sewing,Weekday,0.8,22.52,1397,0,138,0,0,0,57,1.100483918,Half1
finishing,Weekend,0.8,4.6,0,6300,0,0,0,0,15,0.921703704,Half2
sewing,Weekday,0.7,22.94,1363,10260,50,0,0,0,57,0.750031898,Half2
finishing,Weekday,0.8,4.08,0,1080,0,0,0,0,9,0.906666667,Half1
finishing,Weekend,0.8,3.94,0,1200,0,0,0,0,10,0.870083333,Half1
sewing,Weekend,0.65,11.41,700,2640,23,0,0,2,53,0.650223718,Half2
sewing,Weekday,0.7,22.52,930,10260,63,0,0,0,57,0.750068049,Half2
